Amdair,Valley of the Twin Rivers
Blade,Gryphon's Perch
Kaio,Valley by the Coast
Dedsune,Gryphon's Perch
Lando,Satyr's Crossing
Astro,Valley of the Twin Rivers
Kenshin,Knight's Rest
Cannon,Knoblands
Hulk Von Smash,Black Marsh
Bolt,Valley of the Twin Rivers
Yorick,Midgard
Atreides,Grim Garrison
Glutton,Serpent's Hollow
Atlas Everdeen,Satyr's Crossing
Midnight,Port of Winter's Night
Duran ,Haven
TalcusPyre,Satyr's Crossing
Zander,Port of Winter's Night
Money,Ivory Tower
Sev,Midgard
Madness,Grim Garrison
Vealman,Satyr's Crossing
Perditus,Blackfire Valley
Sevin,Madoc's Keep
Farley,Gryphon's Perch
Haliax,Madoc's Keep
Solaire,Madoc's Keep
Arsenal,Grim Garrison
Neon,Mountain of the Sixth Dawn
Seraph,Madoc's Keep
Raten,Emerald Glades
Snapdragon,Port of Winter's Night
Cole,Madoc's Keep
Pittacus,Mystik Caverns
Viper,Madoc's Keep
Khelos,Thee Night's Legacy
Kraiton,Thee Night's Legacy
Duo,Gryphon's Perch
Goradorth,Mystik Caverns
Kavik,Twilight Peak
Saladin,Serpent's Hollow
Bane Xylore,Valley of the Twin Rivers
Freya,Dragon's Tale
Gargha,Dragon's Tale
Saber,Dragon's Tale
Wolfear,Mystik Caverns
Ralof,Port of Winter's Night
Godric,Grim Garrison
Lumi,Gryphon's Perch
Gale,Valley of the Twin Rivers
Flail Snail,Emerald Glades
GreedShen,Blackfire Pass
Eir,Grim Garrison
Yark,Goblins Hollow
Manama,Valley by the Coast
Argh me matey,Gryphon's Perch
Grr Argson,Grim Garrison
Alisdair,Grim Garrison
